,WELL_NAME,Simulated
310,OBS1,-0.1166586606
311,OBS1,-0.1166586656
312,OBS1,-0.1166586705
313,OBS1,-0.1166586754
314,OBS1,-0.1166586804
315,OBS1,-0.1166586853
316,OBS1,-0.1166586902
317,OBS1,-0.1166586951
318,OBS1,-0.1166587
319,OBS1,-0.1166587049
320,OBS1,-0.1166587098
321,OBS1,-0.1166587146
322,OBS1,-0.1166587195
323,OBS1,-0.1166587243
324,OBS1,-0.1166587291
325,OBS1,-0.116658734
326,OBS1,-0.1166587388
327,OBS1,-0.1166587436
328,OBS1,-0.1166587484
329,OBS1,-0.1166587532
330,OBS1,-0.1166587579
331,OBS1,-0.1166587627
332,OBS1,-0.1166587675
333,OBS1,-0.1166587722
334,OBS1,-0.1166587769
335,OBS1,-0.1166587817
336,OBS1,-0.1166587864
337,OBS1,-0.1166587911
338,OBS1,-0.1166587958
339,OBS1,-0.1166588005
340,OBS1,-0.1166588052
341,OBS1,-0.1166588098
342,OBS1,-0.1166588145
343,OBS1,-0.1166588192
344,OBS1,-0.1166588238
345,OBS1,-0.1166588284
346,OBS1,-0.1166588331
347,OBS1,-0.1166588377
348,OBS1,-0.1166588423
349,OBS1,-0.1166588469
350,OBS1,-0.1166588515
351,OBS1,-0.116658856
352,OBS1,-0.1166588606
353,OBS1,-0.1166588652
354,OBS1,-0.1166588697
355,OBS1,-0.1166588743
356,OBS1,-0.1166588788
357,OBS1,-0.1166588833
358,OBS1,-0.1166588878
359,OBS1,-0.1166588924
360,OBS1,-0.1166588969
361,OBS1,-0.1166589013
362,OBS1,-0.1166589058
363,OBS1,-0.1166589103
364,OBS1,-0.1166589148
365,OBS2,0.9380096303
366,OBS2,0.9380041769
367,OBS2,0.9379992989
368,OBS2,0.9379949085
369,OBS2,0.9379908981
370,OBS2,0.9379871862
371,OBS2,0.9379837125
372,OBS2,0.9379804313
373,OBS2,0.9379773077
374,OBS2,0.937974315
375,OBS2,0.9379714325
376,OBS2,0.9379686439
377,OBS2,0.9379659367
378,OBS2,0.9379633007
379,OBS2,0.937960728
380,OBS2,0.9379582124
381,OBS2,0.9379557486
382,OBS2,0.9379533325
383,OBS2,0.9379509608
384,OBS2,0.9379486306
385,OBS2,0.9379463396
386,OBS2,0.9379440859
387,OBS2,0.9379418677
388,OBS2,0.9379396836
389,OBS2,0.9379375323
